problem,algorithm,variant,nfe,mean_best,median_best
RW26,GSK,SHAP-CF,17958,101030255.14343742,101030255.14343742
RW26,GSK,SHAP-CF,18254,101030255.1434374,101030255.1434374
RW26,GSK,SHAP-CF,18263,101030255.14343739,101030255.14343739
RW26,GSK,SHAP-CF,18296,101030255.14343737,101030255.14343737
RW26,GSK,SHAP-CF,18299,101030255.14343731,101030255.14343731
RW26,GSK,SHAP-CF,18318,101030255.14343724,101030255.14343724
RW26,GSK,SHAP-CF,18400,101030255.14343722,101030255.14343722
RW26,GSK,SHAP-CF,18444,101030255.14343716,101030255.14343716
RW26,GSK,SHAP-CF,18500,101030255.14343713,101030255.14343713
RW26,GSK,SHAP-CF,18506,101030255.14343692,101030255.14343692
RW26,GSK,SHAP-CF,18953,101030255.1434369,101030255.1434369
RW26,GSK,SHAP-CF,19019,101030255.14571097,101030255.14571097
RW26,GSK,SHAP-CF,19057,101030255.14343683,101030255.14343683
RW26,GSK,SHAP-CF,19124,101030447.317028,101030447.317028
RW26,GSK,SHAP-CF,19139,101030255.14568952,101030255.14568952
RW26,GSK,SHAP-CF,19221,101030255.14343679,101030255.14343679
RW26,GSK,SHAP-CF,19639,101030255.14566772,101030255.14566772
RW26,GSK,SHAP-CF,19659,101030255.14564902,101030255.14564902
RW26,GSK,SHAP-CF,19679,101030255.14542897,101030255.14542897
RW26,GSK,SHAP-CF,19681,101030255.14343676,101030255.14343676
RW26,GSK,SHAP-CF,19760,101030434.11951286,101030434.11951286
RW26,GSK,SHAP-CF,19780,101030411.1425507,101030411.1425507
RW26,GSK,SHAP-CF,19785,101030255.14343669,101030255.14343669
RW26,GSK,SHAP-CF,19857,101030411.12941203,101030411.12941203
RW26,GSK,SHAP-CF,19996,101030255.14343667,101030255.14343667
RW26,GSK,SHAP-CF,20056,101030255.14343661,101030255.14343661
RW26,GSK,SHAP-CF,20230,101030255.14343649,101030255.14343649
RW26,GSK,SHAP-CF,20279,101030255.14538556,101030255.14538556
RW26,GSK,SHAP-CF,20299,101030255.14522839,101030255.14522839
RW26,GSK,SHAP-CF,20319,101030255.14497991,101030255.14497991
RW26,GSK,SHAP-CF,20379,101030255.14496836,101030255.14496836
RW26,GSK,SHAP-CF,20438,101030255.14343645,101030255.14343645
RW26,GSK,SHAP-CF,20958,101030255.14343642,101030255.14343642
RW26,GSK,SHAP-CF,21058,101030255.14343639,101030255.14343639
RW26,GSK,SHAP-CF,21158,101030255.14343637,101030255.14343637
