algorithm,variant,run,nfe,best_fit
GSK,ACME-CF,8,1764,3174.405640783101
GSK,ACME-CF,8,2504,3172.361134315519
GSK,ACME-CF,8,2723,3165.840572897269
GSK,ACME-CF,8,2821,3161.117756121388
GSK,ACME-CF,8,3411,3082.424899439931
GSK,ACME-CF,9,1,13736.279574732274
GSK,ACME-CF,9,4,4988.288333720446
GSK,ACME-CF,9,13,4269.993903280638
GSK,ACME-CF,9,29,3678.6056428552356
GSK,ACME-CF,9,246,3614.811494316782
GSK,ACME-CF,9,248,3393.9364429788084
GSK,ACME-CF,9,628,3326.147608443281
GSK,ACME-CF,9,1258,3305.227501844988
GSK,ACME-CF,9,1916,3155.288706382669
GSK,ACME-CF,9,4616,3082.424899439931
GSK,IBREAKDOWN-CF,0,1,52596.66118775257
GSK,IBREAKDOWN-CF,0,3,4722.528708936122
GSK,IBREAKDOWN-CF,0,4,4269.840614947523
GSK,IBREAKDOWN-CF,0,14,4189.074801018628
GSK,IBREAKDOWN-CF,0,55,4071.5363779043355
GSK,IBREAKDOWN-CF,0,69,4013.76137486155
GSK,IBREAKDOWN-CF,0,102,4012.985835530295
GSK,IBREAKDOWN-CF,0,141,3977.055879415737
GSK,IBREAKDOWN-CF,0,159,3693.0843510651353
GSK,IBREAKDOWN-CF,0,257,3672.405482994395
GSK,IBREAKDOWN-CF,0,339,3664.371309120918
GSK,IBREAKDOWN-CF,0,343,3528.3081516304646
GSK,IBREAKDOWN-CF,0,425,3517.5690963406646
GSK,IBREAKDOWN-CF,0,572,3508.1042240453526
GSK,IBREAKDOWN-CF,0,882,3428.3834458875963
GSK,IBREAKDOWN-CF,0,1886,3384.5191828472293
GSK,IBREAKDOWN-CF,0,2440,3320.476235742834
GSK,IBREAKDOWN-CF,0,2975,3229.029377512886
GSK,IBREAKDOWN-CF,0,5157,3209.909527254043
GSK,IBREAKDOWN-CF,0,7521,3178.132885945624
GSK,IBREAKDOWN-CF,0,8416,3176.386969768235
GSK,IBREAKDOWN-CF,10,1,212784.32583561778
GSK,IBREAKDOWN-CF,10,3,6320.023126415389
GSK,IBREAKDOWN-CF,10,23,4339.178728259458
GSK,IBREAKDOWN-CF,10,73,3620.5691402699463
GSK,IBREAKDOWN-CF,10,175,3528.2882340322176
GSK,IBREAKDOWN-CF,10,457,3401.6192558269627
GSK,IBREAKDOWN-CF,10,1201,3371.70116842294
GSK,IBREAKDOWN-CF,10,1337,3343.560464952301
GSK,IBREAKDOWN-CF,10,2139,3335.3065650564095
GSK,IBREAKDOWN-CF,10,2366,3233.6293149190183
GSK,IBREAKDOWN-CF,10,2891,3189.2105873943146
