Dimension,MH_Group,Topology,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,Log10FinalErr_Median,ExecTime_s_Median,ExplanationFEs_Median,AppliedInterventions,Rescues
20,ADAPTIVE_DE,Hybrid,jSO,Standard,90,23330.718631919728,51.815413344841545,1.714443224967697,325.2670248745053,0.0,0,0
20,ADAPTIVE_DE,Multimodal,L-SHADE,ACME-CF,120,26.05871382060188,9.386116407339216,-3.3647405712132636,13.880246812506812,1110.0,2879,332
20,ADAPTIVE_DE,Multimodal,L-SHADE,IBREAKDOWN-CF,120,24.97979544336648,8.381117250651755,-3.389178517751591,13.816977729497012,390.0,3027,464
20,ADAPTIVE_DE,Multimodal,L-SHADE,LIME-CF,120,25.085109362039272,8.207467033494595,-3.3924913754047465,13.95266068699857,1080.0,2849,417
20,ADAPTIVE_DE,Multimodal,L-SHADE,SHAP-CF,120,27.81847541860433,11.47605912368482,-3.321087150710042,13.946294958499493,372.0,3101,442
20,ADAPTIVE_DE,Multimodal,L-SHADE,Standard,120,36.8354895370097,24.54325245146805,-3.156017481899367,13.768366208503721,0.0,0,0
20,ADAPTIVE_DE,Multimodal,jSO,ACME-CF,120,34.434893890504014,11.096506661128103,-3.3269682333653785,18.064897541997198,34157.0,4756,412
20,ADAPTIVE_DE,Multimodal,jSO,IBREAKDOWN-CF,120,38.15988252531698,20.61911939785847,-3.192391744776448,16.386217729501368,19819.0,4847,550
20,ADAPTIVE_DE,Multimodal,jSO,LIME-CF,120,33.10484023491467,6.013223331993515,-3.4600002970785626,17.903837916492193,20880.0,4665,617
20,ADAPTIVE_DE,Multimodal,jSO,SHAP-CF,120,37.783384443523964,19.426763925678586,-3.2073383441193366,16.056148250499973,20191.5,4858,607
20,ADAPTIVE_DE,Multimodal,jSO,Standard,120,46.33058460877501,22.447734663711884,-3.174496812824343,15.37353066700598,0.0,0,0
20,ADAPTIVE_DE,Unimodal,L-SHADE,ACME-CF,30,8.63842804695499e-09,9.138489076576661e-09,-8.039125730056552,2.294756958501239,0.0,0,0
20,ADAPTIVE_DE,Unimodal,L-SHADE,IBREAKDOWN-CF,30,8.63842804695499e-09,9.138489076576661e-09,-8.039125730056552,2.3072675000003073,0.0,0,0
20,ADAPTIVE_DE,Unimodal,L-SHADE,LIME-CF,30,8.63842804695499e-09,9.138489076576661e-09,-8.039125730056552,2.281241354001395,0.0,0,0
20,ADAPTIVE_DE,Unimodal,L-SHADE,SHAP-CF,30,8.63842804695499e-09,9.138489076576661e-09,-8.039125730056552,2.284072187496349,0.0,0,0
20,ADAPTIVE_DE,Unimodal,L-SHADE,Standard,30,8.63842804695499e-09,9.138489076576661e-09,-8.039125730056552,2.302238333002606,0.0,0,0
20,ADAPTIVE_DE,Unimodal,jSO,ACME-CF,30,9.079324551445703e-09,9.096680742004537e-09,-8.04112920645909,5.683662791496317,720.0,48,37
20,ADAPTIVE_DE,Unimodal,jSO,IBREAKDOWN-CF,30,9.147762132973488e-09,9.335138884125627e-09,-8.029879593811978,5.651062083001307,420.0,40,40
20,ADAPTIVE_DE,Unimodal,jSO,LIME-CF,30,8.498820610232846e-09,8.539899454262923e-09,-8.068636728683693,5.640093603993591,720.0,38,38
20,ADAPTIVE_DE,Unimodal,jSO,SHAP-CF,30,8.741991071777496e-09,9.252659083358594e-09,-8.033734030072573,5.702033541499986,420.0,39,39
20,ADAPTIVE_DE,Unimodal,jSO,Standard,30,9.073357887245948e-09,9.186095439872588e-09,-8.036873423299049,5.577169520503958,0.0,0,0
20,CLASSICAL_SWARM,Composition,BA,ACME-CF,120,660.3899323042313,336.81788785507047,2.527395147939917,74.38808589549444,68370.0,7719,663
20,CLASSICAL_SWARM,Composition,BA,IBREAKDOWN-CF,120,736.1650098580138,337.00379526561096,2.527634789770924,75.01269391599635,50370.0,9491,462
20,CLASSICAL_SWARM,Composition,BA,LIME-CF,120,749.7863291361772,336.82657905103406,2.527406353894336,74.78957297900342,56880.0,9405,595
20,CLASSICAL_SWARM,Composition,BA,SHAP-CF,120,753.1848439639424,337.10455462975824,2.5277646097333735,74.39115664549172,52950.0,9576,423
20,CLASSICAL_SWARM,Composition,BA,Standard,120,766.5567804709377,336.91072780218974,2.5275148370368488,74.88316258348641,0.0,0,0
20,CLASSICAL_SWARM,Composition,GWO,ACME-CF,120,289.27188668173113,275.41138872927104,2.439907386305965,92.97138327099674,38760.0,6093,1056
