Dimension,Function,Algorithm,Variant,Runs,Best,Worst,Median,Mean,Std,TargetSuccessRate,MedianFEterm
20,6,GWO,IBREAKDOWN-CF,30,30875.53882752001,125189.17030633522,61840.64649366237,66338.08561256011,22012.353969783482,0.0,1000000.0
20,6,GWO,LIME-CF,30,34038.759888486624,107338.01790641234,62150.85300922317,65201.16503463912,19868.651048159387,0.0,1000000.0
20,6,GWO,SHAP-CF,30,40061.26511796074,119671.02607824883,63074.103815074355,68582.23183945236,21656.959275087484,0.0,1000000.0
20,6,GWO,Standard,30,29268.19274770564,119897.14315135706,60270.90273477855,63566.5666800253,19974.781027447007,0.0,1000000.0
20,6,L-SHADE,ACME-CF,30,3.4146551365206506,373950.16091071774,11535.565484111643,28136.688043093054,71886.81846056366,0.0,1000000.0
20,6,L-SHADE,IBREAKDOWN-CF,30,6475.926410979018,923216.6566854962,20771.800603080654,88429.57116494767,189249.40886353535,0.0,1000000.0
20,6,L-SHADE,LIME-CF,30,27.87126814703015,792109.95271504,22416.50542322039,62925.277334477854,143011.85179411122,0.0,1000000.0
20,6,L-SHADE,SHAP-CF,30,52.71589427684512,363530.85097077535,27575.076331572425,57163.69616945495,74569.18860515961,0.0,1000000.0
20,6,L-SHADE,Standard,30,170009.187318614,1398165.4591436663,535996.8945832225,552924.1191350917,264202.12460628664,0.0,1000000.0
20,6,OPA,ACME-CF,30,17087.16961634758,75866.18517116166,39943.51640979349,41240.633155057636,15219.347600327766,0.0,1000000.0
20,6,OPA,IBREAKDOWN-CF,30,17087.75385796222,85164.77274359259,39943.486502699576,42421.32514481969,16467.3611257014,0.0,1000000.0
20,6,OPA,LIME-CF,30,17087.753858348715,85167.90204028822,40022.31020896764,41917.92312417001,16949.211289887862,0.0,1000000.0
20,6,OPA,SHAP-CF,30,17087.753858316166,85164.67094406928,40023.27503839915,42626.209267683305,16642.044256736233,0.0,1000000.0
20,6,OPA,Standard,30,17087.753857169948,83293.94802000618,40023.38229366118,42772.074521399285,16307.398064529778,0.0,1000000.0
20,6,PSO,ACME-CF,30,3397.1851408283874,75536.76167312198,28998.35240515598,30522.423617158456,15891.212551284105,0.0,1000000.0
