Dimension,Function,Algorithm,Variant,Runs,ExecTime_s_Mean,ExecTime_s_Median,ExecTime_s_STD,OptimizerFEs_Mean,ExplanationFEs_Mean,OracleFEs_Mean,ExplanationShare_Mean
10,3,GWO,SHAP-CF,30,7.3836900973003745,7.365011770998535,0.13378935465150815,175552.73333333334,24440.0,24440.0,0.1222
10,3,GWO,Standard,30,7.3552215889008945,7.318904458497855,0.13140305817108366,199998.43333333332,0.0,0.0,0.0
10,3,L-SHADE,ACME-CF,30,0.48048290279960687,0.47940008349542035,0.0212378060572778,14648.8,406.5,406.5,0.0020325
10,3,L-SHADE,IBREAKDOWN-CF,30,0.46878371113368,0.46733099999983096,0.021219329483116514,14700.0,153.36666666666667,153.36666666666667,0.0007668333333333332
10,3,L-SHADE,LIME-CF,30,0.47993816379894266,0.47545793750032317,0.016553737033922298,14668.366666666667,450.26666666666665,450.26666666666665,0.0022513333333333335
10,3,L-SHADE,SHAP-CF,30,0.4744369971335497,0.4710464790005062,0.019208327123476282,14713.666666666666,139.23333333333332,139.23333333333332,0.0006961666666666665
10,3,L-SHADE,Standard,30,0.4659718195662814,0.46532118749746587,0.017270544807792425,14717.8,0.0,0.0,0.0
10,3,OPA,ACME-CF,30,5.72392766523335,5.737515083499602,0.15651617337059995,146832.0,53168.0,53168.0,0.26584
10,3,OPA,IBREAKDOWN-CF,30,5.71828914580013,5.711946979496133,0.14794430825437474,160744.0,39256.0,39256.0,0.19627999999999998
10,3,OPA,LIME-CF,30,5.710606959800983,5.704919666502974,0.1553839989811163,149744.0,50256.0,50256.0,0.25128
10,3,OPA,SHAP-CF,30,5.71807525420057,5.701967187498667,0.11677210790645143,160564.0,39436.0,39436.0,0.19718
10,3,OPA,Standard,30,5.637819355566413,5.595832666502247,0.13182103249908594,200000.0,0.0,0.0,0.0
10,3,PSO,ACME-CF,30,0.3251830667000225,0.2101458960023592,0.649796286717428,15072.933333333332,2204.0,2204.0,0.01102
10,3,PSO,IBREAKDOWN-CF,30,0.32947627083437203,0.20762408349764877,0.6578961430466449,15517.2,1638.0,1638.0,0.008190000000000001
10,3,PSO,LIME-CF,30,0.32924459719967364,0.20911968700238498,0.6633827446107163,15187.6,2064.0,2064.0,0.010320000000000001
10,3,PSO,SHAP-CF,30,0.32633233466694944,0.2043037500006903,0.6615241123618074,15487.033333333333,1676.0,1676.0,0.00838
10,3,PSO,Standard,30,0.31949357916600996,0.2003548119973857,0.6607282100562414,16860.066666666666,0.0,0.0,0.0
10,3,SBOA,ACME-CF,30,5.54382889443344,5.544838021000032,0.24451082598395305,146948.33333333334,51402.0,51402.0,0.25701
10,3,SBOA,IBREAKDOWN-CF,30,5.612371327766596,5.622169271002349,0.1518474785190962,160076.0,39924.0,39924.0,0.19962
10,3,SBOA,LIME-CF,30,5.609759631966396,5.61812516700229,0.16709760375909344,150680.0,49320.0,49320.0,0.24659999999999999
10,3,SBOA,SHAP-CF,30,5.577495783300159,5.572128770498239,0.1584844448260871,159618.0,40382.0,40382.0,0.20190999999999998
10,3,SBOA,Standard,30,5.5209153403336435,5.516309271501086,0.10388126200768309,200000.0,0.0,0.0,0.0
10,3,jSO,ACME-CF,30,0.7878029209001397,0.780581417002395,0.07711929921500925,23486.4,1571.9666666666667,1571.9666666666667,0.007859833333333333
10,3,jSO,IBREAKDOWN-CF,30,0.7792741042004006,0.7721638750008424,0.05466651445292491,23724.633333333335,1007.8666666666667,1007.8666666666667,0.005039333333333332
10,3,jSO,LIME-CF,30,0.7871972040336307,0.7715238544988097,0.05584686702955268,23414.533333333333,1412.7666666666667,1412.7666666666667,0.007063833333333333
10,3,jSO,SHAP-CF,30,0.7694643762995839,0.765575583500322,0.04623325391618975,23593.866666666665,841.4333333333333,841.4333333333333,0.004207166666666666
10,3,jSO,Standard,30,0.7346451984997354,0.7347066664988233,0.02343857451516871,23471.366666666665,0.0,0.0,0.0
10,4,BA,ACME-CF,30,6.077663536032682,6.062108332997013,0.11850667962255441,140172.0,59828.0,59828.0,0.29914
10,4,BA,IBREAKDOWN-CF,30,6.054471286133048,6.040273187500134,0.10659742200298089,158366.0,41634.0,41634.0,0.20817
10,4,BA,LIME-CF,30,6.055218916767626,6.039046625002811,0.1441107761212272,155480.0,44520.0,44520.0,0.2226
10,4,BA,SHAP-CF,30,6.0605530944332715,6.04030589550166,0.1331177882178118,158600.0,41400.0,41400.0,0.207
10,4,BA,Standard,30,6.004808159765526,5.990267583500099,0.10475236644057914,200000.0,0.0,0.0,0.0
10,4,GSK,ACME-CF,30,8.099128081966773,8.100047770501988,0.1448918394378834,169460.0,30540.0,30540.0,0.15269999999999997
10,4,GSK,IBREAKDOWN-CF,30,8.108631348534011,8.10316891650291,0.17073055581643468,181316.0,18684.0,18684.0,0.09342
