Dimension,MH_Group,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,FinalErr_STD,FinalErr_IQR,Log10FinalErr_Mean,Log10FinalErr_Median,Log10FinalErr_STD,ExecTime_s_Mean,ExecTime_s_Median,OptimizerFEs_Median,ExplanationFEs_Median,ExplanationShare_Median,OracleAttempts,OracleActivations,AppliedInterventions,Rescues
20,CLASSICAL_SWARM,PSO,Standard,360,2720.9329531244757,49.084478979481446,9581.993123926355,332.5734628330032,0.5961370607063056,1.6909441854184684,3.55077484858664,94.44693995742001,31.0258185624989,1000000.0,0.0,0.0,0,0,0,0
20,KNOWLEDGE_BASED,GSK,ACME-CF,360,1509.4809036086533,36.414534636244184,5119.7491318417315,313.95261937750263,-0.520987606100516,1.561269328439073,4.367944695034234,101.86183338972995,41.0039693124927,967900.0,27270.0,0.027270000000000003,20070,20063,20058,3577
20,KNOWLEDGE_BASED,GSK,IBREAKDOWN-CF,360,1670.1415372955623,39.15352731948499,6150.080134617842,313.9192404328039,-0.16227067631181163,1.59265001369835,4.081273888791389,103.94076848830822,41.485111834001145,980920.0,16320.0,0.01632,20705,20702,20702,4667
20,KNOWLEDGE_BASED,GSK,LIME-CF,360,1530.1382151399118,41.83043387019029,5574.482859849627,313.9554749099593,-0.46812654559423694,1.621124863764599,4.372919060141184,103.37236738089753,41.445823853995535,943120.0,51780.0,0.05178,20217,20205,20205,4513
20,KNOWLEDGE_BASED,GSK,SHAP-CF,360,1524.3893539099083,36.3383609807928,5580.331936960023,313.89832149429793,-0.10219929206379012,1.5602590974352706,4.0136999744737505,104.26256068588268,41.35192797949276,981400.0,15690.0,0.015690000000000003,20601,20575,20575,4471
20,KNOWLEDGE_BASED,GSK,Standard,360,2483.3419360972453,59.18473161351301,8104.688732106893,317.1742542332181,1.0291716650551754,1.7722094567390054,2.3641439070203916,107.39672316596965,53.11257845800719,1000000.0,0.0,0.0,0,0,0,0
20,RECENT_BIOINSPIRED,OPA,ACME-CF,360,3689.2804123410556,76.67007629868795,12150.276411804749,335.9919304572937,1.6341506922883535,1.884624730074905,1.8645998202964775,106.34719903194394,52.07577643699915,934540.0,65400.0,0.0654,29761,29734,29734,844
20,RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,360,3781.251653782224,76.37368396008128,12584.170401358951,334.5248774673523,1.6427828990912945,1.8829212585238366,1.779554480966057,106.49147713332151,51.68416733300546,955420.0,44580.0,0.04458,30479,30461,30461,932
20,RECENT_BIOINSPIRED,OPA,LIME-CF,360,3743.2165706832643,76.5601842276381,12506.640008856488,334.1216008291228,1.5870040268238266,1.8840020810595535,1.9747135594773093,106.0985237484968,46.2558743329937,938800.0,61200.0,0.0612,29561,29534,29534,909
20,RECENT_BIOINSPIRED,OPA,SHAP-CF,360,3802.4167420657104,75.26141496809203,12654.702433886334,334.90304851153746,1.633545144025017,1.876572372763081,1.7936192589471351,106.5090540273362,51.90391133300727,954730.0,45270.0,0.045270000000000005,30368,30337,30337,895
20,RECENT_BIOINSPIRED,OPA,Standard,360,3811.8145445487753,77.90943445533844,12657.083329526535,333.7425838057603,1.6743169375128777,1.891574444699847,1.7339089170998991,105.97176008024464,51.76963454199722,1000000.0,0.0,0.0,0,0,0,0
20,RECENT_BIOINSPIRED,SBOA,ACME-CF,360,16405.23116145734,58.31393533561874,66298.07520609944,340.6113711078986,1.4646817172681355,1.765772281050785,2.0631802266081247,105.66692577659337,51.43315039599838,938620.0,61380.0,0.061380000000000004,26617,26593,26593,1621
20,RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,360,28723.995077909844,64.72343988787009,144390.77012122324,360.2049326891979,1.5952020433366132,1.8110187181588737,1.979657934874251,105.80508024884799,51.436019874498015,955720.0,44280.0,0.04428,27547,27527,27527,2443
20,RECENT_BIOINSPIRED,SBOA,LIME-CF,360,26109.506710879836,64.94574451966287,130096.63733317606,356.47097395743685,1.536139666754419,1.812502824200644,2.027382071922532,105.6043323061215,51.2847932079967,942400.0,57600.0,0.0576,26710,26690,26690,2271
20,RECENT_BIOINSPIRED,SBOA,SHAP-CF,360,36346.674477126704,65.36617799952478,151692.3940135297,348.42659925466967,1.6205979045551342,1.8153522854786581,1.9760079551821386,105.75545068587849,51.205328374497185,954490.0,45510.0,0.045509999999999995,27478,27453,27453,2372
20,RECENT_BIOINSPIRED,SBOA,Standard,360,59162.32738836323,60.779044074994204,227878.8502695531,350.00935930027754,1.7159184876345819,1.7837449366123925,1.9428097543392675,105.25769335578633,51.20991727049113,1000000.0,0.0,0.0,0,0,0,0
